Gmt time,Open,High,Low,Close,Volume
11.05.2021 17:00:00.000,1.07813,1.07904,1.07790,1.07893,3311870117.1875
11.05.2021 18:00:00.000,1.07890,1.07945,1.07874,1.07912,4638509765.625
11.05.2021 19:00:00.000,1.07912,1.07935,1.07841,1.07857,3598600097.6563
11.05.2021 20:00:00.000,1.07858,1.07866,1.07804,1.07814,1319640014.6484
11.05.2021 21:00:00.000,1.07769,1.07866,1.07758,1.07778,1445489990.2344
11.05.2021 22:00:00.000,1.07777,1.07916,1.07777,1.07910,1287260009.7656
11.05.2021 23:00:00.000,1.07913,1.07926,1.07886,1.07919,768390014.6484
12.05.2021 00:00:00.000,1.07924,1.07928,1.07835,1.07864,3178679931.6406
12.05.2021 01:00:00.000,1.07865,1.07908,1.07818,1.07823,3944219970.7031
12.05.2021 02:00:00.000,1.07823,1.07836,1.07780,1.07795,2663090087.8906
12.05.2021 03:00:00.000,1.07796,1.07822,1.07688,1.07724,3057889892.5781
12.05.2021 04:00:00.000,1.07723,1.07777,1.07716,1.07770,3306100097.6563
12.05.2021 05:00:00.000,1.07768,1.07873,1.07761,1.07868,2879449951.1719
12.05.2021 06:00:00.000,1.07867,1.07950,1.07852,1.07943,3851679931.6406
12.05.2021 07:00:00.000,1.07943,1.07969,1.07853,1.07966,5999009765.625
12.05.2021 08:00:00.000,1.07965,1.07981,1.07889,1.07955,4632509765.625
12.05.2021 09:00:00.000,1.07955,1.07972,1.07876,1.07925,4153069824.2188
12.05.2021 10:00:00.000,1.07923,1.07932,1.07855,1.07898,2807919921.875
12.05.2021 11:00:00.000,1.07897,1.07904,1.07852,1.07891,2534840087.8906
12.05.2021 12:00:00.000,1.07891,1.07938,1.07742,1.07896,11780599609.375
12.05.2021 13:00:00.000,1.07896,1.07930,1.07767,1.07909,12938799804.6875
12.05.2021 14:00:00.000,1.07910,1.08004,1.07891,1.07984,10672620117.1875
12.05.2021 15:00:00.000,1.07990,1.08011,1.07912,1.07937,6317779785.1563
12.05.2021 16:00:00.000,1.07935,1.08025,1.07924,1.07996,5854930175.7813
12.05.2021 17:00:00.000,1.07998,1.08042,1.07959,1.07962,5784890136.7188
12.05.2021 18:00:00.000,1.07959,1.07992,1.07924,1.07937,4058959960.9375
12.05.2021 19:00:00.000,1.07931,1.07969,1.07882,1.07958,5311009765.625
12.05.2021 20:00:00.000,1.07956,1.07987,1.07860,1.07879,1916160034.1797
12.05.2021 21:00:00.000,1.07879,1.07948,1.07802,1.07882,676159973.1445
12.05.2021 22:00:00.000,1.07886,1.07931,1.07823,1.07874,1203099975.5859
12.05.2021 23:00:00.000,1.07874,1.07933,1.07871,1.07931,1186969970.7031
13.05.2021 00:00:00.000,1.07932,1.07939,1.07810,1.07847,2908300048.8281
13.05.2021 01:00:00.000,1.07846,1.07900,1.07813,1.07871,2810300048.8281
13.05.2021 02:00:00.000,1.07869,1.07870,1.07770,1.07783,2475679931.6406
13.05.2021 03:00:00.000,1.07785,1.07808,1.07704,1.07707,2169590087.8906
13.05.2021 04:00:00.000,1.07708,1.07790,1.07701,1.07786,1322180053.7109
13.05.2021 05:00:00.000,1.07786,1.07797,1.07692,1.07735,2660610107.4219
13.05.2021 06:00:00.000,1.07733,1.07808,1.07717,1.07789,4809930175.7813
13.05.2021 07:00:00.000,1.07791,1.07862,1.07750,1.07818,5230270019.5313
13.05.2021 08:00:00.000,1.07818,1.07818,1.07702,1.07726,5648540039.0625
13.05.2021 09:00:00.000,1.07728,1.07784,1.07663,1.07682,4312229980.4688
13.05.2021 10:00:00.000,1.07682,1.07833,1.07678,1.07829,3909500000
13.05.2021 11:00:00.000,1.07827,1.07833,1.07747,1.07751,3355780029.2969
13.05.2021 12:00:00.000,1.07750,1.07764,1.07629,1.07682,5113359863.2813
13.05.2021 13:00:00.000,1.07681,1.07695,1.07593,1.07635,5025129882.8125
13.05.2021 14:00:00.000,1.07638,1.07648,1.07545,1.07612,4872009765.625
13.05.2021 15:00:00.000,1.07612,1.07622,1.07535,1.07553,4167339843.75
13.05.2021 16:00:00.000,1.07558,1.07566,1.07533,1.07554,4994490234.375
13.05.2021 17:00:00.000,1.07552,1.07574,1.07526,1.07548,6200080078.125
13.05.2021 18:00:00.000,1.07549,1.07572,1.07474,1.07497,4737419921.875
